"MenuItemID","Restaurant","Food_Category", Item_Name_2012,"Item_Description_2012","Serving_Size_2012","Serving_Size_text_2012","Serving_Size_Unit_2012","Serving_Size_household_2012","Calories_2012","Total_Fat_2012","Saturated_Fat_2012","Trans_Fat_2012","Cholesterol_2012","Sodium_2012","Potassium_2012","Carbohydrates_2012","Dietary_Fiber_2012","Sugar_2012","Protein_2012","Calories_text_2012","Total_Fat_text_2012","Saturated_Fat_text_2012","Trans_Fat_text_2012","Cholesterol_text_2012","Sodium_text_2012","Potassium_text_2012","Carbohydrates_text_2012","Dietary_Fiber_text_2012","Sugar_text_2012","Protein_text_2012","Kids_Meal_2012","Limited_Time_Offer_2012","Regional_2012","Shareable_2012"
"100","Culver's","Burgers","ButterBurger w/ Cheese, Kids","ButterBurger w/ Cheese, Kids","173","","g","","421","22","10","1","80","990","","37","1","9","22","","","","","","","","","","","","1","0","0","0"
"10001","Applebee's","Baked Goods","Breadstick","Breadstick, Pick 'n Pair & Lunch Combos","","","","","280","19","6","0","","330","","22","1","","5","","","","","","","","","","","","0","0","0","0"
"10002","Applebee's","Baked Goods","Toasted Garlic Bread Basket","Toasted Garlic Bread Basket, Extras, As Served","","","","","1120","78","23","1.5","","1320","","89","6","","19","","","","","","","","","","","","0","0","0","0"
"10003","Applebee's","Soup","French Onion Soup, Pick 'n Pair & Lunch Combos","French Onion Soup, Pick 'n Pair & Lunch Combos","","","","","240","14","9","0","","1070","","11","1","","14","","","","","","","","","","","","0","0","0","0"
"10004","Applebee's","Soup","Tomato Basil Soup, Pick 'n Pair & Lunch Combos","Tomato Basil Soup, Pick 'n Pair & Lunch Combos","","","","","220","14","6","0","","1220","","23","2","","5","","","","","","","","","","","","0","0","0","0"
"10005","Applebee's","Soup","Chili, Pick 'n Pair & Lunch Combos","Chili, Pick 'n Pair & Lunch Combos","","","","","360","25","12","1.5","","870","","10","5","","25","","","","","","","","","","","","0","0","0","0"
"10006","Applebee's","Soup","Baked Potato Soup, Pick 'n Pair & Lunch Combos","Baked Potato Soup, Pick 'n Pair & Lunch Combos","","","","","410","30","14","0.5","","590","","22","2","","13","","","","","","","","","","","","0","0","0","0"
"10007","Applebee's","Soup","Black Bean Soup, Pick 'n Pair & Lunch Combos","Black Bean Soup, Pick 'n Pair & Lunch Combos","","","","","220","10","5","0","","990","","23","6","","10","","","","","","","","","","","","0","0","0","0"
"10008","Applebee's","Soup","Chicken Noodle Soup, Pick 'n Pair & Lunch Combos","Chicken Noodle Soup, Pick 'n Pair & Lunch Combos","","","","","120","3.5","1","0","","970","","12","1","","12","","","","","","","","","","","","0","0","0","0"
"10009","Applebee's","Soup","Chicken Tortilla Soup, Pick 'n Pair & Lunch Combos","Chicken Tortilla Soup, Pick 'n Pair & Lunch Combos","","","","","130","7","2","0","","930","","11","1","","7","","","","","","","","","","","","0","0","0","0"
"10010","Applebee's","Soup","Broccoli Cheddar Soup, Pick 'n Pair & Lunch Combos","Broccoli Cheddar Soup, Pick 'n Pair & Lunch Combos","","","","","320","25","16","1","","1560","","14","2","","12","","","","","","","","","","","","0","0","0","0"
"10011","Applebee's","Soup","Clam Chowder, Pick 'n Pair & Lunch Combos","Clam Chowder, Pick 'n Pair & Lunch Combos","","","","","310","22","13","0.5","","880","","17","1","","12","","","","","","","","","","","","0","0","0","0"
"10012","Applebee's","Soup","French Onion Soup, Bowl","French Onion Soup, Extras, As Served, Bowl","","","","","250","14","9","0","","1230","","13","1","","14","","","","","","","","","","","","0","0","0","0"
"10013","Applebee's","Soup","Tomato Basil Soup, Bowl","Tomato Basil Soup, Extras, As Served, Bowl","","","","","260","16","7","0","","1430","","27","3","","5","","","","","","","","","","","","0","0","0","0"
"10014","Applebee's","Soup","Chili, Bowl","Chili, Extras, As Served, Bowl","","","","","420","28","13","1.5","","1040","","16","6","","28","","","","","","","","","","","","0","0","0","0"
